Region,POP,GDP
乌鲁木齐市,350.58,3099.77
乐山市,350.68,1615.09
黔东南州,353.83,1036.62
德阳市,354.5,2213.87
承德市,357.89,1481.5
焦作市,359.07,2371.5
濮阳市,360.94,1654.47
鞍山市,364.59,1751.1
文山州,365.4,859.06
内江市,369.9,1411.75
芜湖市,374.8,3278.53
兰州市,375.36,2732.94
宝鸡市,377.1,2265.16
清远市,387.4,1565.19
吕梁市,388.56,1420.3
滨州市,392.25,2640.52
枣庄市,392.73,2402.38
娄底市,393.18,1540.41
株洲市,402.08,2631.54
柳州市,404.17,3053.65
抚州市,404.72,1382.4
厦门市,411,4791.41
滁州市,411.4,1801.7
贵港市,411.88,1169.88
宜昌市,413.59,4064.18
肇庆市,415.17,2201.8
赤峰市,432.2,1549.87
泸州市,432.36,1694.97
廊坊市,435.88,3108.2
咸阳市,436.61,2376.45
梅州市,437.88,1110.21
益阳市,441.38,1758.38
太原市,442.15,3884.48
张家口市,443.4,1536.6
许昌市,443.74,2830.62
衡水市,447.2,1558.7
临汾市,450.03,1440
红河州,450.1,1593.77
连云港市,452,2771.7
扬州市,453.1,5466.17
凉山州,453.28,1533.19
宜宾市,455.6,2026.37
开封市,456.49,2002.23
江门市,459.82,2900.41
伊犁,461.71,939.85
泰州市,463.57,5107.63
喀什地区,464.97,890.12
安庆市,469.1,1917.6
淄博市,470.18,5068.35
嘉兴市,472.6,4871.98
常州市,472.86,7050.27
郴州市,474.45,2391.87
孝感市,481.45,1912.9
惠州市,483,4103.05
六安市,483.7,1288.1
绵阳市,485.7,2302.82
贵阳市,488.19,3798.45
九江市,489.68,2700.19
平顶山市,490.44,2135.23
绍兴市,491.22,5416.9
淮安市,492.5,3601.25
宿迁市,492.59,2750.72
吉安市,495.66,1742.23
怀化市,497.96,1513.27
漳州市,514,3947.63
安阳市,517.6,2393.22
亳州市,523.7,1277.19
渭南市,532.77,1767.71
齐齐哈尔,534,1340.2
运城市,535.97,1509.6
宜春市,541.96,2180.85
永州市,545.21,1805.65
南昌市,554.55,5274.67
昭通市,559.1,889.54
金华市,560.4,4100.2
汕头市,563.85,2512.05
泰安市,564,3651.53
襄阳市,566.9,4309.79
宿州市,568.14,1630.22
荆州市,569.17,2082.18
达州市,572,1690.17
新乡市,579.41,2526.55
岳阳市,579.71,3411.01
德州市,581,3380.3
常德市,582.72,3394.2
曲靖市,585.5,2013.36
聊城市,607.45,3152.15
揭阳市,608.94,2152.47
遵义市,612.7,3000.23
台州市,613.9,4874.67
驻马店市,619.02,2370.32
茂名市,631.32,3092.18
黄冈市,633,2035.2
南充市,644,2006.03
信阳市,647.41,2387.8
无锡市,657.45,11438.62
南宁市,666.16,4147.06
大连市,669.04,7668.5
上饶市,681.07,2212.78
昆明市,685,5206.9
洛阳市,688.85,4640.78
烟台市,712.18,7832.58
盐城市,720,5487.08
衡阳市,724.34,3046.03
南通市,731,8427
商丘市,732.53,2389.04
湛江市,733.2,3008.39
邵阳市,737.05,1782.65
邢台市,737.44,2150.8
济南市,746.04,7856.56
唐山市,757.73,6955
沧州市,758.6,3676.4
长春市,767.71,7175.7
福州市,774,7856.81
佛山市,790.57,9935.88
合肥市,808.7,7822.91
沈阳市,810.62,6292.4
长沙市,815.47,11003.41
宁波市,820.2,10745.5
阜阳市,820.7,1759.5
济宁市,834.59,4930.58
赣州市,836.84,2807.24
东莞市,839.22,8278.59
南京市,843.62,12820.4
周口市,867.78,2687.22
泉州市,870,8467.97
菏泽市,876.5,3078.78
徐州市,880.2,6755.23
温州市,925,6006.16
潍坊市,937.31,6156.78
青岛市,939.48,12001.52
邯郸市,952.8,3454.6
杭州市,980.6,13509.2
西安市,1000.37,8349.86
南阳市,1001.36,3566.77
郑州市,1013.6,10143.32
石家庄,1016.38,6082.6
临沂市,1062.4,4717.8
苏州市,1072.17,18597.47
哈尔滨,1092.9,6300.5
武汉市,1108.1,14847.29
保定市,1119.44,3589.8
深圳市,1302.66,24221.98
广州市,1490.44,22859.35
天津市,1559.6,18809.64
成都市,1633,15342.77
北京市,2154.2,30320
上海市,2423.78,32679.87
重庆市,3101.79,20363.19
